id,name,artists,album,release_date,energy,danceability,popularity,keywords
7kvLAPEnEPlSbhZDlHFv0p,Yeh Fitoor Mera,Arijit Singh,Fitoor (Original Motion Picture Soundtrack),2018-05-15,0.42,0.45,59,"['fitoor', 'yeh', 'mera', 'song', 'àà', 'ààààà', 'àààà¾', 'mp3', 'arijit', 'singh']"
0tpwqQhdfJXRcUDSNRjb9O,"Mere Yaaraa (From ""Sooryavanshi"")","Arijit Singh, Neeti Mohan, Rashmi Virag","Mere Yaaraa (From ""Sooryavanshi"")",2021-10-27,0.539,0.324,70,"['mere', 'yaaraa', 'sooryavanshi', 'song', 'àààà', 'àà¾àà¾', 'ààààà', 'ààààààµààà', 'mp3', 'arijit']"
57jOEZtoLQK4zF2x55bdkp,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli, Arijit Singh, Neha Kakkar","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",2019-12-02,0.382,0.718,68,"['tu', 'àà', 'hi', 'yaar', 'mera', 'pati', 'patni', 'aur', 'woh', 'song']"
5pPyvA03RKSJrAnnDcq0nh,Saibo,"Sachin-Jigar, Shreya Ghoshal, Tochi Raina",Shor in the City (Original Motion Picture Soundtrack [Deluxe Edition]),2011,0.426,0.62,68,"['saibo', 'song', 'mp3', 'sachinjigar', 'download', 'songs', 'sung', 'music', 'love', 'stories']"
7bzR0C8NhnBA79iTXUCJ7o,"Jaanam (From ""Bad Newz"")",Vishal Mishra,"Jaanam (From ""Bad Newz"")",2024-07-09,0.391,0.76,76,"['jaanam', 'bad', 'newz', 'song', 'dekho', 'hai', 'ye', 'aise', 'na', 'yun']"
5F79ZdjOwGOhUKRHx94sr1,Dooriyan,"Mohit Chauhan, Pritam",Love Aaj Kal (Original Motion Picture Soundtrack),2009-07-31,0.714,0.523,66,"['song', 'yeh', 'dooriyan', 'àà', 'àààààà¾à', 'download', 'mp3', 'music', 'pritam', 'songs']"
1y1rQTkWmrZdJmjwuK07GC,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra, Manoj Muntashir","Kaise Hua (From ""Kabir Singh"")",2019-06-13,0.464,0.385,72,"['kaise', 'hua', 'song', 'hai', 'tu', 'itna', 'zaroori', 'mp3', 'meri', 'main']"
5Tkf5CbtVYHA1SiKo1NrJE,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",Zara Hatke Zara Bachke,2023-08-25,0.552,0.556,65,"['tu', 'zara', 'hi', 'phir', 'aur', 'kya', 'chaahiye', 'hatke', 'bachke', 'chahiye']"
1L3Nsi7YXtBxTdnbqektia,Hawa Banke,Darshan Raval,Hawa Banke,2019-07-18,0.598,0.625,72,"['banke', 'hawa', 'boohey', 'song', 'tu', 'à¹àµà¾', 'àààà', 'bariyan', 'main', 'koi']"
5WXQbgwGwyauXOqswlEeQY,"Bolna (From ""Kapoor & Sons (Since 1921)"")","Tanishk Bagchi, Arijit Singh, Asees Kaur",Tanishk Bagchi (All Time Hits),2023-06-12,0.403,0.486,66,"['1921', 'bolna', 'kapoor', 'sons', 'since', 'song', 'ààà²àà¾', 'ààààà', 'ààªàà', 'ààà']"
4Qu8LlchmRCaPBKBArcNsA,Tere Naina,"Shankar-Ehsaan-Loy, Shafqat Amanat Ali",My Name Is Khan (Original Motion Picture Soundtrack [Deluxe Edition]),2010,0.74,0.522,60,"['tere', 'naina', 'song', 'àààà', 'àààà¾', 'mp3', 'shankar', 'ehsaan', 'loy', 'download']"
6q4GmJDbiZ7viOqLHP76cs,Rang Jo Lagyo,"Atif Aslam, Shreya Ghoshal, Sachin-Jigar",Ramaiya Vastavaiya (Original Motion Picture Soundtrack),2013-07-19,0.663,0.479,62,"['jo', 'rang', 'lagyo', 'ke', 'song', 'ààà', 'àà', 'à²àààà', 'hai', 'gaya']"
4byiHL0b9mIoCUCjbjI4eA,"Gazab Ka Hai Din (From ""Dil Juunglee"")","Jubin Nautiyal, Prakriti Kakar",Romantic Hits By Jubin Nautiyal,2020-05-25,0.421,0.325,63,"['hai', 'ààà', 'gazab', 'ka', 'din', 'se', 'song', 'àà¾', 'à¹à', 'hum']"
1TVGIzxrXAmuhZnOn2vIC1,Tera Zikr,Darshan Raval,Hits Of Darshan Raval (Blue Family),2023-06-05,0.469,0.613,66,"['tera', 'zikr', 'song', 'àààà¾', 'ààààà', 'mp3', 'darshan', 'raval', 'download', 'songs']"
2Z6HgNji9cNlFLNORw6wDQ,"Channa Ve - From ""Bhoot - Part One: The Haunted Ship""","Mansheel Gujral, Akhil Sachdeva","Channa Ve (From ""Bhoot - Part One: The Haunted Ship"" / Original Motion Picture Soundtrack)",2020-02-12,0.696,0.676,68,"['channa', 'song', 'ààààà¾', 'àµà', 'mp3', 'akhil', 'sachdeva', 'download', 'songs', 'music']"
4Pow6acOGSaXcs6Gd05SP5,Ranjha,"Jasleen Royal, B Praak, Romy, Anvita Dutt",Shershaah (Original Motion Picture Soundtrack) [Deluxe Edition],2021,0.566,0.611,66,"['ranjha', 'song', 'àà¾ààà¾', 'download', 'mp3', 'music', 'shershaah', 'bollywood', 'jasleen', 'royal']"
1fcCPXmH4vUzG6UQTTjZp5,Phir Bhi Tumko Chaahunga,"Mithoon, Arijit Singh, Shashaa Tirupati",The Arijit Singh Collection,2023-05-26,0.524,0.528,62,"['phir', 'bhi', 'tumko', 'chaahunga', 'song', 'mp3', 'mithoon', 'download', 'songs', 'music']"
7yDHHVKLbvDmVw1XXhDDIO,Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",ANIMAL,2023-11-24,0.406,0.413,79,"['main', 'pehle', 'bhi', 'song', 'animal', 'marham', 'laga', 'hi', 'dil', 'mp3']"
5X5db3FrBOHbibrFKA02MQ,"Chashni (From ""Bharat"")","Abhijeet Srivastava, Vishal-Shekhar","Chashni (From ""Bharat"")",2019-05-01,0.52,0.756,64,"['chashni', 'ja', 'mitthi', 'lofi', 'tu', 'mixremix', 'dj', 'rink', 'song', 'meri']"
3Uv8BQFN3bQfhkregyMbnx,My Dil Goes Mmmm,"Vishal-Shekhar, Shaan, Gayatri Iyer, Jaideep Sahni",Salaam Namaste,2005-08-03,0.797,0.693,65,"['hain', 'dil', 'goes', 'ha', 'mmmm', 'song', 'woh', 'àà¾à', 'ààà²', 'àààà¼']"
1mjWhM7GQTTxJxg2F0iCRS,"Dil Mein Ho Tum (From ""Cheat India"")","Armaan Malik, Rochak Kohli, Bappi Lahiri","Dil Mein Ho Tum (From ""Cheat India"")",2018-12-26,0.653,0.608,63,"['dil', 'mein', 'ho', 'tum', 'cheat', 'india', 'song', 'mp3', 'armaan', 'malik']"
7lvDsmTRXFE3dK4OjvRiWB,Pasoori,"Shae Gill, Ali Sethi",Pasoori,2022-02-07,0.596,0.714,69,"['hove', 'di', 'nu', 'naa', 'dil', 'vi', 'aa', 'tera', 'poora', 'de']"
208sMwgVcaFt2mT79Df1KG,"Naacho Naacho (From ""RRR"")","Vishal Mishra, Rahul Sipligunj, M. M. Keeravani, Riya Mukherjee","Naacho Naacho (From ""RRR"")",2021-11-10,0.986,0.438,57,"['naacho', 'hindi', 'song', 'hey', 'dugu', 'haan', 'ke', 'aaja', 'nakara', 'mp3']"
2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")",2021-07-30,0.63,0.72,70,"['raataan', 'lambiyan', 'song', 'àà¾àà¾à', 'à²ààààà¾à', 'music', 'download', 'mp3', 'shershaah', 'songs']"
72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")","Jasleen Royal, B Praak, Romy, Anvita Dutt","Ranjha (From ""Shershaah"")",2021-08-05,0.573,0.603,69,"['ranjha', 'song', 'àà¾ààà¾', 'download', 'mp3', 'music', 'shershaah', 'bollywood', 'jasleen', 'royal']"
06LCamFUOtImIKi9mFRKiD,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Shreya Ghoshal, Amitabh Bhattacharya","Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-06-28,0.726,0.271,72,"['rocky', 'aur', 'rani', 'kii', 'prem', 'kahaani', 'tum', 'kya', 'mile', 'song']"
3KeMulXbLDJBQdY5PZbGEh,Param Sundari,"A.R. Rahman, Shreya Ghoshal",Mimi (Original Motion Picture Soundtrack),2021-07-16,0.761,0.815,66,"['param', 'sundari', 'song', 'àªàà', 'àààààà', 'mp3', 'r', 'rahman', 'download', 'songs']"
1iZLpuGMr4tn1F5bZu32Kb,Bijlee Bijlee,Harrdy Sandhu,Bijlee Bijlee,2021-10-30,0.67,0.795,67,"['ho', 'di', 'vi', 'utte', 'tere', 'chann', 'kudi', 'bijlee', 'ke', 'ae']"
2i4Cd4c6uEjLZgdy2BQbZO,Levitating (feat. Prakriti Kakar & Sukriti Kakar) [Amaal Mallik Remix],"Dua Lipa, Amaal Mallik, Prakriti Kakar, Sukriti Kakar",Levitating (feat. Prakriti Kakar & Sukriti Kakar) [Amaal Mallik Remix],2021-02-12,0.648,0.801,36,"['kakar', 'levitating', 'feat', 'prakriti', 'sukriti', 'amaal', 'mallik', 'remix', 'song', 'mp3']"
2NTVtNcpC0i1R7LVGaCZCF,Jugnu,"Badshah, Nikhita Gandhi",Jugnu,2021-10-26,0.803,0.716,64,"['main', 'jugnu', 'na', 'song', 'ààààà', 'ab', 'sa', 'kuchh', 'hai', 'finally']"
2ufLEVbzvEcJ3subW8jBUp,Lut Gaye,"Jubin Nautiyal, Tanishk Bagchi, Manoj Muntashir, Nusrat Fateh Ali Khan",Lut Gaye,2021-02-17,0.785,0.638,61,"['àà', 'lut', 'gaye', 'emraan', 'hashmi', 'feat', 'song', 'mein', 'à²àà', 'àààà¾à']"
60dbY1IYizdQQVhC4QTyEc,Dil Chahte Ho,"Jubin Nautiyal, Payal Dev",Dil Chahte Ho,2020-08-27,0.399,0.3,51,"['chahte', 'ho', 'dil', 'song', 'ààà²', 'àà¾à¹àà', 'à¹à', 'haste', 'bhi', 'hai']"
